date | value
test | notworking
tralala | trululu
1 | 2 | 3
2023-10-26-9 | heyy
2011-01-03 | 3
2023-10-26 | 100
2022-05-10 | yep
2222-65-10 | yep
2222-5-010 | yep
2022-01-12 | 2
2022-03-18 | 1
2008-03-18 | 1
2008-01-01 | 1
2011-01-03 | 3
2011-01-03 | 1.5
2011-01-03 | -1
2011-01-03 | 1001
2011-01-03 | abc
2011-01-03 value
2011-01-03 |
| 2
2011-01-03 || 2
2011 -01-03 | 2
2011-01- 03 | 2
2011-13-01 | 2
2011-00-01 | 2
2011-02-30 | 2
2012-02-29 | 2
2011-04-31 | 2
2011-04-30 | 2
2011-01-03 | 1.2  # comment
2011-01-03 |	1.2
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
